神凤,晋时刘尼年号,303
神功,周武则天年号,697
神历,北辽梁王耶律雅里年号,1123
圣武,唐时安禄山年号,756
顺德,大理段思聪年号,968
顺德,明时朱宸濠年号,1519
嗣圣,唐中宗年号,684
太昌,北魏孝武帝年号,532
太初,汉武帝年号,前104—前101
太初,前秦苻登年号,386—394
太初,西秦乞伏乾归年号,388—400
太初,南凉秃发乌孤年号,397—399
太初,南朝宋刘劭年号,453
太极,唐睿宗年号,712
太始,汉武帝年号,前96—前93
太始,南朝梁时侯景年号,551—552
太始,渤海大明忠年号,818
太熙,晋武帝年号,290
泰昌,明光宗年号,1620
泰豫,南朝宋明帝年号,472
唐隆,唐少帝年号,710
天册万岁,周武则天年号,695
天福,后晋高祖年号（936—942），出帝沿用不改（942—944）,936—944
天福,后汉高祖年号,947
天辅,金太祖年号,1117—1123
天辅,大理段智祥年号,1226
天汉,汉武帝年号,前100—前97
天汉,前蜀王建年号,917
天皇,唐时朱泚年号,784
天康,南朝陈文帝年号,566
天授,周武则天年号,690—692
天授,大理段正淳年号,1096
天绣,明时王斌年号,1457
天应,南诏郑隆亶年号,927
天载,宋时钟相年号,1130
天战,宋时钟相年号,1130
通正,前蜀王建年号,916
昌平,西燕段随年号,386
万乘,元时杜可用年号,1280
万岁登封,周武则天年号,696
文经,大理段思英年号,945
文明,唐睿宗年号,684
武烈,明时李添保年号,1460
武泰,北魏孝明帝年号,528
咸康,晋成帝年号,335—342
咸康,前蜀王衍年号,925
孝基,北魏北海王元颢年号,529
兴平,汉献帝年号,194—195
兴平,南齐时唐㝢之年号,486
兴圣,南诏杨干真年号,930
兴元,唐德宗年号,784
宣政,北周武帝年号,578
安定,大理段智兴年号,？—1200
安定,元时杨镇龙年号,1289
燕兴,西燕慕容泓年号,384
延初,前秦苻崇年号,394
延和,北魏太武帝年号,432—434
延和,高昌麹伯雅年号,602—613
延和,唐睿宗年号,712
延康,汉献帝年号,220
延康,隋末沈法兴年号,619—620
延康,元时林桂方、赵良钤年号,1283
延平,汉殇帝年号,106
